Station Code,Location,State,Temp Min,Temp Max,Dissoved Oxygen Min,Dissoved Oxygen Max,pH Min,pH Max,Conductivity Min,Conductivity Max,BOD Min,BOD Max,Nitrate Min,Nitrate Max,Fecal Coliform Min,Fecal Coliform Max,Total Coliform Min,Total Coliform Max,cluster,cluster-5,cluster-6,cluster-7,cluster-8,cluster-9
3136.0,"SIRSIYA RIVER D/S RAXAUL (KOERIA TOLA), EAST
CHAMPARAN",BIHAR,-0.38544687800899374,0.7069770619577835,0.2594544583510384,-1.1179171489009834,-0.5501551948973955,-0.06761818834087135,0.04272654472503683,-0.09842013752969293,0.027663582776065686,0.5675035565302787,-0.2096201111639789,0.0147089391600798,0.17367615985900198,-0.03265421144507289,0.11819045843738575,-0.024079351462911354,c1,c2,c5,c2,c1,c2
3132.0,"BAGMATI RIVER AT MUZAFFARPUR- SITAMARHI ROAD BRIDGE, SITAMARHI",BIHAR,-0.5705408462614748,0.7069770619577835,0.8160812992570746,0.5339716378469295,0.5920932718833921,0.0077075409253703955,-0.1914653547267192,-0.14800830108266494,-0.2583381878520993,-0.17218445681844577,-0.3032737119286697,-0.11057868745225603,-0.040233120126491134,-0.03602750301071592,-0.0462041550478414,-0.024079351462911354,c1,c2,c5,c2,c1,c2
3135.0,"BAGMATI RIVER AT DARBANGA, SAMASTIPUR
ROAD BRIDGE,",BIHAR,0.1698350267484495,1.2766234283704239,0.7654788591747078,0.7644677476257079,0.5920932718833921,0.030305259705242973,-0.08760633844811434,-0.1547245309092526,-0.15108752386653743,-0.16154146382062243,-0.2096201111639789,-0.11489895043888831,-0.012144022754658704,-0.03265421144507289,-0.008696646145872096,-0.026049353828383675,c1,c2,c5,c2,c4,c4
3131.0,"U/S MANUSMAR RIVER (RIGA), SITAMARHI",BIHAR,-0.5705408462614748,0.5170949398202368,0.7654788591747078,0.34189154636461405,0.4017185274199281,-0.014890177854502184,-0.0748785178257363,-0.13659071037746598,-0.20471285585931837,-0.16420221207007826,-0.2096201111639789,-0.14082052835868195,-0.04714735947955758,-0.03655457981784764,-0.03582973769197755,-0.026049353828383675,c1,c2,c5,c2,c1,c2
2563.0,"MANUSMAR RIVER AT RIGA, SITAMARHI",BIHAR,-0.38544687800899374,0.5170949398202368,0.2594544583510384,-0.0038526183035538343,-1.3116541727512552,-0.007357604927877901,-0.06775093827720459,-0.14420243751426529,-0.18683774519505808,-0.07107602333912373,-0.2096201111639789,-0.13218000238541738,-0.05427766881240735,-0.03539501084215785,-0.031041545066194234,-0.024079351462911354,c1,c2,c5,c2,c1,c2
4402.0,"MANUSMAR AT PARSHURAMPUR, RIGA - BELSUND ROAD,",BIHAR,-0.20035290975651268,0.7069770619577835,-1.4104260643670705,-0.31118076467525846,-0.35978045043393153,-0.045020469560998845,-0.025494573810909485,-0.13916526514432456,-0.1153373025380168,-0.09236200933477047,-0.11596651039928808,-0.13218000238541738,-0.043906309782807684,-0.036870825902126675,-0.0462041550478414,-0.027150237503206442,c2,c1,c6,c7,c2,c7
3119.0,"POONPUN RIVER NEAR POONPUN RAIL BRIDGE,
PATNA",BIHAR,-0.015258941504031585,1.086741306232877,0.2594544583510384,-0.0038526183035538343,-0.16940570597046747,-0.007357604927877901,-0.08098787172447776,-0.14968735853931187,-0.15108752386653743,-0.15621996732171073,-0.2096201111639789,-0.13218000238541738,-0.02726892133949155,-0.03655457981784764,0.016840381191638918,-0.027700679340617828,c1,c2,c5,c2,c4,c4
3120.0,"POONPUN RIVER NEAR KINZER ROAD BRIDGE, JEHANABAD",BIHAR,0.1698350267484495,1.086741306232877,0.15824957818630447,0.7260517293292449,0.7824680163468561,-0.014890177854502184,-0.09880682059580702,-0.14912767272042957,-0.18683774519505808,-0.16154146382062243,-0.2096201111639789,-0.13218000238541738,-0.05622229863045729,-0.03718707198640571,-0.04859825136073306,-0.02790347370176939,c1,c2,c5,c2,c4,c4
4293.0,"U/S KOHRA, RAJ GHAT, MANJHAULIA, WEST CHAMPARAN",BIHAR,-0.38544687800899374,1.086741306232877,-0.4995821428844656,0.34189154636461405,0.21134378295646233,-0.007357604927877901,-0.05349577918014119,-0.12539699399981993,-0.13321241320227714,-0.1668629603195341,-0.11596651039928808,-0.12785973939878512,-0.03375102073299134,-0.03602750301071592,-0.0015143572071971243,-0.027700679340617828,c1,c2,c5,c2,c4,c4
4294.0,"D/S KOHRA, RAJ GHAT, MANJHAULIA,",BIHAR,-0.38544687800899374,1.086741306232877,-2.017655345355474,-0.08068465489648008,-1.3116541727512552,-0.022422750781126332,-0.18128309822881675,-0.10938997957978606,-0.02596174921671529,-0.017861058350006863,-0.11596651039928808,-0.10625842446562377,-0.06011155826655716,-0.03539501084215785,0.030406926964691643,-0.024079351462911354,c2,c1,c6,c3,c6,c7
2117.0,"BICHIA, BRIDGE GOVINDGARH ROAD",MADHYA PRADESH,0.26238201087469004,1.086741306232877,-0.14536506230789698,-0.5800928927505001,0.5920932718833921,-0.045020469560998845,-0.038731507258182654,-0.1410681969285244,-0.04383685988097554,-0.14025547782497566,-0.2096201111639789,-0.11921921342552058,-0.06395760390670037,-0.0383402106250485,-0.057001529418982774,-0.028710595259152608,c1,c2,c5,c2,c4,c4
1433.0,"SANKH AT TIGRA RESERVOIR, M.P.",MADHYA PRADESH,-1.4960106875238803,0.13733069554514338,0.5124666587628731,0.1882274731787616,-0.35978045043393153,0.030305259705242973,-0.11408020534266067,-0.04401867593433312,-0.22258796652357868,-0.16420221207007826,-0.02231290963459723,-0.10193816147899148,-0.06395760390670037,-0.0383462193006498,-0.05736064386591652,-0.02871221761404182,c3,c5,c2,c6,c7,c1
1610.0,"SONE AT ORIGIN AMARKANTAK, M.P",MADHYA PRADESH,0.0217598521464645,0.13733069554514338,0.6642739790099739,-0.2727647463787955,0.4017185274199281,-0.05255304248762299,-0.1074617386190241,-0.17352997442369794,-0.41921418383044207,-0.18282744981626917,-0.11596651039928808,-0.13650026537204965,-0.06395760390670037,-0.03834643013137265,-0.05736223993012512,-0.028714593205129597,c1,c2,c1,c5,c1,c2
1142.0,"SONE AT CHACHAI, M.P.",MADHYA PRADESH,0.6325699473796522,0.3272128176826901,0.714876419092341,-0.08068465489648008,0.972842760810322,-0.02995532370775048,-0.048404650931189966,0.16575156898275392,-0.2583381878520993,-0.023182554848918555,-0.11596651039928808,-0.11489895043888831,-0.06395760390670037,-0.03834643013137265,-0.05716113583984222,-0.028712825997125276,c1,c4,c1,c5,c1,c8
1371.0,"SONE AT AMLAI, M.P.","MADHYA
PRADESH",0.6140605505544039,0.3272128176826901,0.7654788591747078,-0.08068465489648008,0.7824680163468561,-0.03748789663437463,-0.04993198940587533,-0.11162872285531528,-0.2940884091806199,-0.17750595331735747,-0.11596651039928808,-0.10625842446562377,-0.06395760390670037,-0.03834643013137265,-0.057113253913584384,-0.028712623202764125,c1,c4,c1,c5,c1,c2
1612.0,"SONE AT DEVLOAD OUT LET OF BANSAGAR DAM, M.P",MADHYA PRADESH,0.5400229632534117,0.23227175661391675,-2.4224748660144093,-0.042268636600016785,0.972842760810322,-0.03748789663437463,-0.06673271262741436,-0.13099385218864296,-0.32983863050914053,-0.18814894631518086,-0.11596651039928808,-0.12785973939878512,-0.06395760390670037,-0.03834643013137265,-0.05716113583984222,-0.028712825997125276,c2,c1,c6,c3,c6,c7
3327.0,"SONE AT AMLAI, 100 METRE D/S AFTER MIXING OF ATPS
EFFLUENT, REWA",MADHYA PRADESH,0.6510793442049005,0.3651892421101993,0.6642739790099739,-0.11910067319294303,0.972842760810322,-0.022422750781126332,-0.03669505595860217,0.19944465527946853,-0.22258796652357868,-0.17750595331735747,-0.02231290963459723,-0.10193816147899148,-0.06395760390670037,-0.03834643013137265,-0.057073352308369525,-0.028712623202764125,c1,c4,c1,c5,c1,c8
3834.0,"SONE AT CHITAWAL NEAR ROAD BRIDGE CHITRANGI,
DIST SINGROULI",MADHYA PRADESH,0.2068538203989456,0.5170949398202368,0.5124666587628731,-0.1575166914894063,0.02096903849299828,-0.045020469560998845,-0.16499148783217285,-0.15909008029653454,-0.15108752386653743,-0.1801667015668133,-0.02231290963459723,-0.05009500563940426,-0.06395760390670037,-0.03834643013137265,-0.05728882097652978,-0.02871415864578427,c1,c2,c1,c5,c1,c2
3836.0,"SONE ON KACHAN DAM NEAR IMILYA NORTH COAL MINES VILL MAJHOULI, DIST
SINGROULI",MADHYA PRADESH,0.2068538203989456,0.8968591840953303,0.3606593385157724,-0.11910067319294303,0.4017185274199281,-0.045020469560998845,-0.13953584658741677,-0.13726233336012475,-0.1153373025380168,-0.1801667015668133,-0.02231290963459723,-0.12785973939878512,-0.06395760390670037,-0.03834643013137265,-0.05730478161861572,-0.028714042763292185,c1,c2,c5,c2,c4,c4
3846.0,"SONE AT JARWAHI NEAR ROAD BRIDGE, SHAHDOL",MADHYA PRADESH,0.6880981378553966,0.3272128176826901,0.7654788591747078,-0.042268636600016785,-3.4057763618493664,-0.03748789663437463,-0.044840861156924115,-0.11129291136398589,-0.31196351984488024,-0.185488198065725,-0.11596651039928808,-0.11921921342552058,-0.06395760390670037,-0.03834643013137265,-0.05716113583984222,-0.028712825997125276,c1,c4,c1,c5,c1,c8
